user_id,trial_type,target_distance,direction_axis,nr_of_clutches,completion_time,task_number
user7,midair,short,W,2,10.4331,8
user7,midair,short,NW,2,16.6343,7
user7,midair,short,S,2,12.0255,9
user7,midair,short,N,1,9.3593,11
user7,midair,short,SE,3,12.2513,19
user7,midair,short,E,3,15.8588,2
user7,midair,short,NE,2,11.7118,3
user7,touch+inertia,long,SW,52,22.8229,22
user7,touch+inertia,long,W,39,15.961699999999999,19
user7,touch+inertia,long,NW,91,30.592299999999998,23
user7,touch+inertia,long,S,38,17.9838,17
user7,touch+inertia,long,N,46,20.0905,4
user7,touch+inertia,long,SE,48,22.9729,3
user7,touch+inertia,long,E,57,24.366,21
user7,touch+inertia,long,NE,49,22.046,5
user7,touch+inertia,medium,SW,25,14.023200000000001,2
user7,touch+inertia,medium,W,25,16.3903,14
user7,touch+inertia,medium,NW,44,19.512500000000003,13
user7,touch+inertia,medium,S,24,11.36,18
user7,touch+inertia,medium,N,17,12.602099999999998,1
user7,touch+inertia,medium,SE,32,21.9614,0
user7,touch+inertia,medium,E,30,16.8453,10
user7,touch+inertia,medium,NE,29,12.934,20
user7,touch+inertia,short,SW,11,7.8584,12
user7,touch+inertia,short,W,15,10.1898,8
user7,touch+inertia,short,NW,15,9.4975,9
user7,touch+inertia,short,S,13,12.3428,16
user7,touch+inertia,short,N,7,6.8047,11
user7,touch+inertia,short,SE,14,12.1601,6
user7,touch+inertia,short,E,14,10.940999999999999,7
user7,touch+inertia,short,NE,11,8.7126,15
user8,midair,long,SW,8,27.9638,5
user8,midair,long,W,6,27.0976,15
user8,midair,long,NW,3,18.1271,13
user8,midair,long,S,5,20.078699999999998,18
user8,midair,long,N,7,25.677799999999998,3
user8,midair,long,SE,8,27.9975,9
user8,midair,long,E,8,21.6627,23
user8,midair,long,NE,13,33.381,1
user8,midair,medium,SW,6,22.6787,7
user8,midair,medium,W,4,15.5346,19
user8,midair,medium,NW,2,11.5629,16
user8,midair,medium,S,4,13.7607,21
user8,midair,medium,N,4,18.1783,2
user8,midair,medium,SE,4,20.3614,17
user8,midair,medium,E,3,13.4597,12
user8,midair,medium,NE,7,27.4794,14
user8,midair,short,SW,3,11.976500000000001,6
user8,midair,short,W,3,17.345000000000002,11
user8,midair,short,NW,2,16.4277,10
user8,midair,short,S,2,9.794,20
user8,midair,short,N,2,14.977799999999998,4
user8,midair,short,SE,3,13.8435,8
user8,midair,short,E,1,12.7261,22
user8,midair,short,NE,4,16.142,0
user8,touch+inertia,long,SW,53,22.1878,21
user8,touch+inertia,long,W,39,16.877100000000002,3
user8,touch+inertia,long,NW,48,17.3179,18
user8,touch+inertia,long,S,43,18.4702,23
user8,touch+inertia,long,N,43,18.4814,19
user8,touch+inertia,long,SE,35,19.8235,1
user8,touch+inertia,long,E,44,19.2265,9
user8,touch+inertia,long,NE,55,24.2651,17
user8,touch+inertia,medium,SW,20,11.760100000000001,14
user8,touch+inertia,medium,W,22,11.1613,7
user8,touch+inertia,medium,NW,26,11.3107,8
user8,touch+inertia,medium,S,20,11.1327,16
user8,touch+inertia,medium,N,23,11.0293,15
user8,touch+inertia,medium,SE,33,15.5158,2
user8,touch+inertia,medium,E,14,9.588799999999999,13
user8,touch+inertia,medium,NE,29,13.4587,20
user8,touch+inertia,short,SW,15,9.1168,4
user8,touch+inertia,short,W,9,10.6468,0
user8,touch+inertia,short,NW,13,7.7989,6
user8,touch+inertia,short,S,10,7.741800000000001,10
user8,touch+inertia,short,N,10,7.778099999999999,12
user8,touch+inertia,short,SE,15,9.064900000000002,11
user8,touch+inertia,short,E,16,9.7102,5
user8,touch+inertia,short,NE,13,8.9643,22
